Sample ID,FDL_L,FMSB_L,FDB_L,FDL_R,FMSB_R,FDB_R,TDL_L,TPB_L,TMSB_L,TDB_L,TDL_R,TPB_R,TMSB_R,TDB_R,FBDL_L,FBDL_R,HDL_L,HPB_L,HMSB_L,HDB_L,HDL_R,HPB_R,HMSB_R,HDB_R,RDL_L,RPB_L,RMSB_L,RDB_L,RDL_R,RPB_R,RMSB_R,RDB_R,UDL_L,UMSB_L,UDL_R,UMSB_R,Wt (kg),Age
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.26,28.24,14.77,33.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,2.51
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.74,13.64,9.76,18.82,NA,NA,NA,NA,177.26,10.82,NA,NA,29.5,8.39
85,136.35,11.72,37.15,135.53,12.28,37.16,118.18,29.79,11.28,20.88,116.88,29.71,11.72,20.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,0.97
86,NA,NA,60.58,NA,NA,59.82,270.05,52.68,19.06,36.2,265.12,51.5,17.94,34.48,267.6,261.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,8.41
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.06,NA,NA,NA,NA,266.61,24.73,21.34,40.36,NA,NA,290.94,21.66,21.4,4.97
88,414.01,20.12,73.76,412.33,20.45,71.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,14.1
89,420.68,23.37,74.14,419.83,22.35,73.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.8,14.79
90,388.82,21.16,67.69,387.72,21.38,66.92,323.06,55.83,22.65,41.74,321.38,59.05,22.39,41.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,13.6
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.27,13.75,12.62,25.37,NA,NA,NA,NA,40,11.87
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.21,NA,NA,NA,NA,334.12,43.65,25.6,29.64,NA,NA,357.86,21.15,27,8.68
93,406.44,26.66,79.17,404.61,27.31,80.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.05,14.34
94,409.16,28.51,80.89,402.21,27.33,83.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1,15.35
95,NA,NA,87.6,NA,NA,NA,290.41,72.67,25.12,52.47,NA,NA,NA,NA,282.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,1.95
96,NA,NA,NA,NA,NA,NA,354.52,68.7,20.24,47.33,354.57,72.96,19.5,47.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,16.37
97,NA,NA,76.52,NA,NA,76.73,354.08,67.18,21.96,44.51,345.19,62.65,20.66,45.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,14.64
98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328.31,64.96,19.53,48.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9,13.17
99,132.59,10.86,36.17,132.98,11.71,36.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.95
